"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-03-20","J",752.47,44.88,60.6,74.09,12.48,0.05,3.22
"2015-03-20","T",743.35,31.89,37.4,85.20,8.88,0.10,-1
"2015-03-21","PN",753.92,27.98,8.5,329.37,2.70,6.16,-1
"2015-03-21","P",762.29,11.67,31.8,36.73,1.25,1.57,8.68
"2015-03-21","B",752.13,11.86,24.5,48.42,1.21,0.12,8.68
"2015-03-21","J",752.52,45.55,61.5,74.09,10.98,0.05,3.22
"2015-03-21","T",743.34,31.78,37.3,85.20,10.74,0.10,-1
"2015-03-22","PN",753.90,27.78,8.4,329.37,3.86,6.16,-1
"2015-03-22","P",762.29,11.67,31.8,36.73,1.57,1.57,8.68
"2015-03-22","B",752.18,12.10,25.0,48.42,2.87,0.12,8.68
"2015-03-22","J",752.60,46.62,62.9,74.09,15.67,0.05,3.22
"2015-03-22","T",743.35,31.89,37.4,85.20,12.56,0.10,-1
"2015-03-23","PN",753.92,27.98,8.5,329.37,5.69,6.16,-1
"2015-03-23","P",762.33,11.78,32.1,36.73,2.84,1.57,8.45
"2015-03-23","B",752.24,12.39,25.6,48.42,3.44,0.12,8.45
"2015-03-23","J",752.66,47.43,64.0,74.09,12.80,0.05,3.40
"2015-03-23","T",743.34,31.78,37.3,85.20,11.10,0.10,-1
"2015-03-24","PN",753.94,28.18,8.6,329.37,4.20,1.90,-1
"2015-03-24","P",762.33,11.78,32.1,36.73,1.57,1.57,8.80
"2015-03-24","B",752.28,12.58,26.0,48.42,2.35,0.12,8.80
"2015-03-24","J",752.71,48.10,64.9,74.09,9.82,0.05,1.94
"2015-03-24","T",743.32,31.56,37.0,85.20,9.21,0.10,-1
"2015-03-25","PN",753.96,28.38,8.6,329.37,6.63,1.90,-1
"2015-03-25","P",762.33,11.78,32.1,36.73,1.57,1.57,7.29
"2015-03-25","B",752.31,12.72,26.3,48.42,1.80,0.12,7.29
"2015-03-25","J",752.76,48.78,65.8,74.09,10.41,0.05,2.50
"2015-03-25","T",743.28,31.12,36.5,85.20,7.45,0.10,-1
"2015-03-26","PN",753.93,28.08,8.5,329.37,2.70,6.16,-1
"2015-03-26","P",762.32,11.75,32.0,36.73,1.25,1.57,7.06
"2015-03-26","B",752.33,12.82,26.5,48.42,1.24,0.12,7.06
