"data","manancial","volume","pluviometria","pluviometriaacmes","mediames"
"2003-2-28","sistemaRioClaro","66.3","0.0","58.3","252.3"
"2003-3-1","sistemaCantareira","65.4","0.0","0.0","197.3"
"2003-3-1","sistemaAltoTiete","46.2","0.1","0.1","171.6"
"2003-3-1","sistemaGuarapiranga","52.3","0.0","0.0","150.5"
"2003-3-1","sistemaCotia","53.1","0.0","0.0","151.8"
"2003-3-1","sistemaRioGrande","87.9","0.0","0.0","189.3"
"2003-3-1","sistemaRioClaro","65.8","0.0","0.0","243.9"
"2003-3-2","sistemaCantareira","65.3","0.0","0.0","197.3"
"2003-3-2","sistemaAltoTiete","46.0","0.1","0.2","171.6"
"2003-3-2","sistemaGuarapiranga","52.1","0.0","0.0","150.5"
"2003-3-2","sistemaCotia","52.7","0.0","0.0","151.8"
"2003-3-2","sistemaRioGrande","87.8","0.0","0.0","189.3"
"2003-3-2","sistemaRioClaro","65.3","0.0","0.0","243.9"
"2003-3-3","sistemaCantareira","65.1","0.0","0.0","197.3"
"2003-3-3","sistemaAltoTiete","45.7","0.0","0.2","171.6"
"2003-3-3","sistemaGuarapiranga","51.8","44.0","44.0","150.5"
"2003-3-3","sistemaCotia","52.0","0.0","0.0","151.8"
"2003-3-3","sistemaRioGrande","87.6","0.0","0.0","189.3"
"2003-3-3","sistemaRioClaro","64.6","0.0","0.0","243.9"
"2003-3-4","sistemaCantareira","65.1","7.1","7.1","197.3"
"2003-3-4","sistemaAltoTiete","45.7","19.7","19.8","171.6"
"2003-3-4","sistemaGuarapiranga","52.4","0.0","44.0","150.5"
"2003-3-4","sistemaCotia","52.2","9.2","9.2","151.8"
"2003-3-4","sistemaRioGrande","87.8","10.9","10.9","189.3"
"2003-3-4","sistemaRioClaro","65.0","53.6","53.6","243.9"
"2003-3-5","sistemaCantareira","65.0","0.0","7.1","197.3"
"2003-3-5","sistemaAltoTiete","45.7","0.0","19.8","171.6"
"2003-3-5","sistemaGuarapiranga","52.4","0.0","44.0","150.5"
"2003-3-5","sistemaCotia","52.3","3.8","13.0","151.8"
"2003-3-5","sistemaRioGrande","87.6","0.0","10.9","189.3"
"2003-3-5","sistemaRioClaro","65.0","0.0","53.6","243.9"
"2003-3-6","sistemaCantareira","65.1","7.8","14.9","197.3"
"2003-3-6","sistemaAltoTiete","46.0","30.1","49.9","171.6"
"2003-3-6","sistemaGuarapiranga","52.5","22.2","66.2","150.5"
"2003-3-6","sistemaCotia","52.2","1.8","14.8","151.8"
"2003-3-6","sistemaRioGrande","87.5","13.3","24.2","189.3"
"2003-3-6","sistemaRioClaro","65.5","29.3","82.9","243.9"
"2003-3-7","sistemaCantareira","65.3","10.7","25.6","197.3"
"2003-3-7","sistemaAltoTiete","46.2","6.9","56.8","171.6"
"2003-3-7","sistemaGuarapiranga","52.5","6.8","73.0","150.5"
"2003-3-7","sistemaCotia","52.0","3.0","17.8","151.8"
"2003-3-7","sistemaRioGrande","87.9","0.0","24.2","189.3"
